t 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 jE1600 jE0900 jE1800 jE1000 jE1100 jE1300 jE2000 jE1500 jF0007 jF0008 jO2201 jO2302 jV1716 jV1918 jV0600 jV1200 jV1400 jV2120 
1.14 -3.62124e-16 5 0 0 10 10 -4.54828e-30 0 0 0 10 0.896731 -5 0.203269 0 5.5091e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.62124e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.16 1.80845e-16 5 0 0 10 10 3.52522e-30 0 0 0 10 0.929948 -5 0.170052 0 3.86247e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 1.80845e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.18 -9.71879e-16 5 0 0 10 10 -4.54828e-30 0 0 0 10 0.957172 -5 0.142828 0 -8.55164e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -9.71879e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
1.2 2.98372e-16 5 0 0 10 10 -2.02762e-30 0 0 0 10 0.977975 -5 0.122025 0 -2.52755e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.98372e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.22 -4.68375e-17 5 0 0 10 10 6.05204e-30 0 0 0 10 0.992029 -5 0.107971 0 -4.1674e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -4.68375e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.24 -4.72278e-16 5 0 0 10 10 5.04131e-30 0 0 0 10 0.999112 -5 0.100888 0 4.96022e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -4.72278e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.26 -7.37257e-16 5 0 0 10 10 -3.03835e-30 0 0 0 10 0.999112 -5 0.100888 0 -7.45389e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -7.37257e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
1.28 -3.55185e-16 5 0 0 10 10 -5.11527e-31 0 0 0 10 0.992029 -5 0.107971 0 -1.42979e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.55185e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.3 1.87784e-16 5 0 0 10 10 7.56813e-30 0 0 0 10 0.977975 -5 0.122025 0 -3.07642e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 1.87784e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.32 -9.6494e-16 5 0 0 10 10 -5.11527e-31 0 0 0 10 0.957172 -5 0.142828 0 -1.54905e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -9.6494e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
1.34 3.05311e-16 5 0 0 10 10 2.01529e-30 0 0 0 10 0.929948 -5 0.170052 0 4.41135e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.05311e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.36 -8.47846e-16 5 0 0 10 10 -6.06437e-30 0 0 0 10 0.896731 -5 0.203269 0 -8.00277e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -8.47846e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
1.38 -4.6534e-16 5 0 0 10 10 -3.53755e-30 0 0 0 10 0.858046 -5 0.241954 0 -1.97867e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -4.6534e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.4 7.76289e-17 5 0 0 10 10 4.53595e-30 0 0 0 10 0.814503 -5 0.285497 0 -3.6253e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 7.76289e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.42 -3.48246e-16 5 0 0 10 10 3.52522e-30 0 0 0 10 0.766789 -5 0.333211 0 5.5091e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.48246e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.44 -6.12791e-16 5 0 0 10 10 -4.54828e-30 0 0 0 10 0.715656 -5 0.384344 0 -6.90501e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -6.12791e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
1.46 -1.50487e-16 5 0 0 10 10 -5.559e-30 0 0 0 10 0.66191 -5 0.43809 0 2.22261e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -1.50487e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.48 3.1225e-16 5 0 0 10 10 -6.56973e-30 0 0 0 10 0.6064 -5 0.4936 0 -2.52755e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.1225e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.5 -3.29597e-17 5 0 0 10 10 1.50993e-30 0 0 0 10 0.55 -5 0.55 0 -4.1674e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.29597e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.52 -4.58401e-16 5 0 0 10 10 4.99201e-31 0 0 0 10 0.4936 -5 0.6064 0 4.96022e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -4.58401e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.54 -7.2338e-16 5 0 0 10 10 -7.58046e-30 0 0 0 10 0.43809 -5 0.66191 0 -7.45389e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -7.2338e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
1.56 -3.41307e-16 5 0 0 10 10 -5.05364e-30 0 0 0 10 0.384344 -5 0.715656 0 -1.43657e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.41307e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.58 2.01662e-16 5 0 0 10 10 3.02602e-30 0 0 0 10 0.333211 -5 0.766789 0 -3.07642e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.01662e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.6 -9.51062e-16 5 0 0 10 10 -5.05364e-30 0 0 0 10 0.285497 -5 0.814503 0 -1.54905e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -9.51062e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
1.62 3.19189e-16 5 0 0 10 10 -2.53298e-30 0 0 0 10 0.241954 -5 0.858046 0 4.41135e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 3.19189e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.64 -2.60209e-17 5 0 0 10 10 5.54668e-30 0 0 0 10 0.203269 -5 0.896731 0 2.77149e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -2.60209e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.66 -4.51895e-16 5 0 0 10 10 4.53595e-30 0 0 0 10 0.170052 -5 0.929948 0 -1.97867e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -4.51895e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.68 -7.16441e-16 5 0 0 10 10 -3.53755e-30 0 0 0 10 0.142828 -5 0.957172 0 -1.43928e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -7.16441e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
1.7 -3.34368e-16 5 0 0 10 10 -1.01689e-30 0 0 0 10 0.122025 -5 0.977975 0 5.50233e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.34368e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.72 2.086e-16 5 0 0 10 10 7.06277e-30 0 0 0 10 0.107971 -5 0.992029 0 3.86247e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.086e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.74 -9.44557e-16 5 0 0 10 10 -1.01689e-30 0 0 0 10 0.100888 -5 0.999112 0 -8.55164e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -9.44557e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
