t 1 2 3 jV1 jL1 jL2 
0.00215 8.09017 4.11171 4.11171 -0.00397846 0.00397846 -0.00411171
0.00216 8.44328 4.26711 4.26711 -0.00417617 0.00417617 -0.00426711
0.00217 8.76307 4.40515 4.40515 -0.00435792 0.00435792 -0.00440515
0.00218 9.04827 4.52527 4.52527 -0.004523 0.004523 -0.00452527
0.00219 9.29776 4.627 4.627 -0.00467076 0.00467076 -0.004627
0.0022 9.51057 4.70995 4.70995 -0.00480061 0.00480061 -0.00470995
0.00221 9.68583 4.77379 4.77379 -0.00491204 0.00491204 -0.00477379
0.00222 9.82287 4.81827 4.81827 -0.0050046 0.0050046 -0.00481827
0.00223 9.92115 4.84321 4.84321 -0.00507793 0.00507793 -0.00484321
0.00224 9.98027 4.84853 4.84853 -0.00513174 0.00513174 -0.00484853
0.00225 10 4.8342 4.8342 -0.0051658 0.0051658 -0.0048342
0.00226 9.98027 4.80029 4.80029 -0.00517998 0.00517998 -0.00480029
0.00227 9.92115 4.74692 4.74692 -0.00517423 0.00517423 -0.00474692
0.00228 9.82287 4.67431 4.67431 -0.00514856 0.00514856 -0.00467431
0.00229 9.68583 4.58276 4.58276 -0.00510307 0.00510307 -0.00458276
0.0023 9.51057 4.47262 4.47262 -0.00503795 0.00503795 -0.00447262
0.00231 9.29776 4.34433 4.34433 -0.00495343 0.00495343 -0.00434433
0.00232 9.04827 4.1984 4.1984 -0.00484987 0.00484987 -0.0041984
0.00233 8.76307 4.03542 4.03542 -0.00472765 0.00472765 -0.00403542
0.00234 8.44328 3.85601 3.85601 -0.00458727 0.00458727 -0.00385601
0.00235 8.09017 3.66091 3.66091 -0.00442926 0.00442926 -0.00366091
0.00236 7.70513 3.45087 3.45087 -0.00425427 0.00425427 -0.00345087
0.00237 7.28969 3.22672 3.22672 -0.00406296 0.00406296 -0.00322672
0.00238 6.84547 2.98937 2.98937 -0.0038561 0.0038561 -0.00298937
0.00239 6.37424 2.73974 2.73974 -0.0036345 0.0036345 -0.00273974
0.0024 5.87785 2.47882 2.47882 -0.00339903 0.00339903 -0.00247882
0.00241 5.35827 2.20765 2.20765 -0.00315062 0.00315062 -0.00220765
0.00242 4.81754 1.92729 1.92729 -0.00289024 0.00289024 -0.00192729
0.00243 4.25779 1.63887 1.63887 -0.00261893 0.00261893 -0.00163887
0.00244 3.68125 1.3435 1.3435 -0.00233774 0.00233774 -0.0013435
0.00245 3.09017 1.04238 1.04238 -0.00204779 0.00204779 -0.00104238
0.00246 2.4869 0.736673 0.736673 -0.00175023 0.00175023 -0.000736673
0.00247 1.87381 0.427605 0.427605 -0.00144621 0.00144621 -0.000427605
0.00248 1.25333 0.116393 0.116393 -0.00113694 0.00113694 -0.000116393
0.00249 0.627905 -0.195732 -0.195732 -0.000823638 0.000823638 0.000195732
0.0025 1.12523e-12 -0.507537 -0.507537 -0.000507537 0.000507537 0.000507537
0.00251 -0.627905 -0.817788 -0.817788 -0.000189882 0.000189882 0.000817788
0.00252 -1.25333 -1.12526 -1.12526 0.000128074 -0.000128074 0.00112526
0.00253 -1.87381 -1.42873 -1.42873 0.00044508 -0.00044508 0.00142873
0.00254 -2.4869 -1.72701 -1.72701 0.000759887 -0.000759887 0.00172701
0.00255 -3.09017 -2.01892 -2.01892 0.00107125 -0.00107125 0.00201892
0.00256 -3.68125 -2.30329 -2.30329 0.00137796 -0.00137796 0.00230329
0.00257 -4.25779 -2.57901 -2.57901 0.00167878 -0.00167878 0.00257901
0.00258 -4.81754 -2.84499 -2.84499 0.00197255 -0.00197255 0.00284499
0.00259 -5.35827 -3.10017 -3.10017 0.0022581 -0.0022581 0.00310017
0.0026 -5.87785 -3.34354 -3.34354 0.00253431 -0.00253431 0.00334354
0.00261 -6.37424 -3.57415 -3.57415 0.00280009 -0.00280009 0.00357415
0.00262 -6.84547 -3.79108 -3.79108 0.0030544 -0.0030544 0.00379108
0.00263 -7.28969 -3.99346 -3.99346 0.00329622 -0.00329622 0.00399346
0.00264 -7.70513 -4.18051 -4.18051 0.00352462 -0.00352462 0.00418051
