t 1 2 3 4 5 6 7 8 9 jL1 jL2 jE11 jO1 jV1 
2.04 -0.874042 -2.62212 -1.59828 -0.707302 -0.431232 -0.874042 -0.494166 4.52877 -3.62212 0.327759 0.0452113 1.79028 0.862465 0.0115771
2.06 -0.86484 -2.59452 -1.59828 -0.707302 -0.404733 -0.86484 -0.500242 4.4337 -3.59452 0.303813 0.0475348 1.79028 0.809467 0.0553728
2.08 -0.855295 -2.56589 -1.59828 -0.707302 -0.378083 -0.855295 -0.50584 4.33402 -3.56589 0.27988 0.0498376 1.79028 0.756166 0.0991288
2.1 -0.845413 -2.53624 -1.59828 -0.707302 -0.351293 -0.845413 -0.510959 4.22979 -3.53624 0.255981 0.0521175 1.79028 0.702585 0.142828
2.12 -0.835196 -2.50559 -1.59828 -0.707302 -0.324372 -0.835196 -0.515602 4.12105 -3.50559 0.232142 0.0543721 1.79028 0.648744 0.186452
2.14 -0.82465 -2.47395 -1.59828 -0.707302 -0.297333 -0.82465 -0.51977 4.00785 -3.47395 0.208384 0.0565991 1.79028 0.594666 0.229984
2.16 -0.813778 -2.44133 -1.59828 -0.707302 -0.270185 -0.813778 -0.523465 3.89025 -3.44133 0.184732 0.0587963 1.79028 0.540371 0.273407
2.18 -0.802585 -2.40776 -1.59828 -0.707302 -0.242941 -0.802585 -0.526689 3.76833 -3.40776 0.161207 0.0609614 1.79028 0.485882 0.316704
2.2 -0.791076 -2.37323 -1.59828 -0.707302 -0.21561 -0.791076 -0.529445 3.64215 -3.37323 0.137833 0.0630923 1.79028 0.43122 0.359856
2.22 -0.779255 -2.33776 -1.59828 -0.707302 -0.188204 -0.779255 -0.531738 3.51177 -3.33776 0.114631 0.0651867 1.79028 0.376408 0.402847
2.24 -0.767127 -2.30138 -1.59828 -0.707302 -0.160733 -0.767127 -0.53357 3.37729 -3.30138 0.091625 0.0672426 1.79028 0.321467 0.44566
2.26 -0.754697 -2.26409 -1.59828 -0.707302 -0.13321 -0.754697 -0.534947 3.23877 -3.26409 0.0688352 0.0692577 1.79028 0.266419 0.488278
2.28 -0.741971 -2.22591 -1.59828 -0.707302 -0.105644 -0.741971 -0.535873 3.09631 -3.22591 0.0462836 0.0712301 1.79028 0.211288 0.530683
2.3 -0.728953 -2.18686 -1.59828 -0.707302 -0.0780466 -0.728953 -0.536353 2.95 -3.18686 0.0239913 0.0731576 1.79028 0.156093 0.57286
2.32 -0.715648 -2.14694 -1.59828 -0.707302 -0.0504292 -0.715648 -0.536392 2.79992 -3.14694 0.00197921 0.0750383 1.79028 0.100858 0.61479
2.34 -0.702063 -2.10619 -1.59828 -0.707302 -0.0228028 -0.702063 -0.535998 2.64618 -3.10619 -0.0197323 0.0768703 1.79028 0.0456055 0.656458
2.36 -0.688203 -2.06461 -1.59828 -0.707302 0.00482177 -0.688203 -0.535175 2.48888 -3.06461 -0.0411232 0.0786515 1.79028 -0.00964354 0.697846
2.38 -0.674072 -2.02222 -1.59828 -0.707302 0.0324333 -0.674072 -0.533932 2.32812 -3.02222 -0.0621738 0.0803801 1.79028 -0.0648667 0.738939
2.4 -0.659678 -1.97904 -1.59828 -0.707302 0.0600209 -0.659678 -0.532274 2.16401 -2.97904 -0.0828648 0.0820544 1.79028 -0.120042 0.77972
2.42 -0.645026 -1.93508 -1.59828 -0.707302 0.0875734 -0.645026 -0.530211 1.99666 -2.93508 -0.103178 0.0836725 1.79028 -0.175147 0.820173
2.44 -0.630122 -1.89037 -1.59828 -0.707302 0.11508 -0.630122 -0.527749 1.8262 -2.89037 -0.123094 0.0852327 1.79028 -0.23016 0.860282
2.46 -0.614972 -1.84492 -1.59828 -0.707302 0.142529 -0.614972 -0.524897 1.65273 -2.84492 -0.142596 0.0867334 1.79028 -0.285059 0.900031
2.48 -0.599583 -1.79875 -1.59828 -0.707302 0.169911 -0.599583 -0.521664 1.47639 -2.79875 -0.161666 0.0881729 1.79028 -0.339822 0.939404
2.5 -0.583959 -1.75188 -1.59828 -0.707302 0.197214 -0.583959 -0.518058 1.29729 -2.75188 -0.180288 0.0895496 1.79028 -0.394427 0.978386
2.52 -0.568108 -1.70433 -1.59828 -0.707302 0.224426 -0.568108 -0.514089 1.11556 -2.70433 -0.198445 0.0908622 1.79028 -0.448853 1.01696
2.54 -0.552037 -1.65611 -1.59828 -0.707302 0.251539 -0.552037 -0.509767 0.931344 -2.65611 -0.216121 0.092109 1.79028 -0.503077 1.05511
2.56 -0.535751 -1.60725 -1.59828 -0.707302 0.27854 -0.535751 -0.505101 0.744766 -2.60725 -0.233302 0.0932888 1.79028 -0.557079 1.09283
2.58 -0.519258 -1.55777 -1.59828 -0.707302 0.305418 -0.519258 -0.500101 0.555966 -2.55777 -0.249973 0.0944003 1.79028 -0.610836 1.13009
2.6 -0.502563 -1.50769 -1.59828 -0.707302 0.332164 -0.502563 -0.494779 0.365081 -2.50769 -0.266119 0.0954421 1.79028 -0.664328 1.16689
2.62 -0.485674 -1.45702 -1.59828 -0.707302 0.358766 -0.485674 -0.489144 0.172255 -2.45702 -0.281728 0.096413 1.79028 -0.717533 1.20321
2.64 -0.468598 -1.40579 -1.59828 -0.707302 0.385214 -0.468598 -0.483208 -0.0223688 -2.40579 -0.296786 0.0973121 1.79028 -0.770429 1.23903
2.66 -0.451341 -1.35402 -1.59828 -0.707302 0.411498 -0.451341 -0.476983 -0.218645 -2.35402 -0.311282 0.0981381 1.79028 -0.822996 1.27434
2.68 -0.433911 -1.30173 -1.59828 -0.707302 0.437607 -0.433911 -0.470479 -0.416425 -2.30173 -0.325203 0.0988901 1.79028 -0.875213 1.30912
2.7 -0.416314 -1.24894 -1.59828 -0.707302 0.46353 -0.416314 -0.463708 -0.615559 -2.24894 -0.33854 0.0995672 1.79028 -0.92706 1.34337
2.72 -0.398558 -1.19567 -1.59828 -0.707302 0.489257 -0.398558 -0.456682 -0.815896 -2.19567 -0.351282 0.100168 1.79028 -0.978515 1.37707
2.74 -0.380649 -1.14195 -1.59828 -0.707302 0.514779 -0.380649 -0.449414 -1.01728 -2.14195 -0.363418 0.100693 1.79028 -1.02956 1.41021
2.76 -0.362595 -1.08779 -1.59828 -0.707302 0.540084 -0.362595 -0.441915 -1.21956 -2.08779 -0.374942 0.101141 1.79028 -1.08017 1.44276
2.78 -0.344404 -1.03321 -1.59828 -0.707302 0.565164 -0.344404 -0.434198 -1.42258 -2.03321 -0.385843 0.10151 1.79028 -1.13033 1.47473
2.8 -0.326082 -0.978247 -1.59828 -0.707302 0.590007 -0.326082 -0.426276 -1.62619 -1.97825 -0.396115 0.101801 1.79028 -1.18001 1.5061
2.82 -0.307638 -0.922913 -1.59828 -0.707302 0.614605 -0.307638 -0.418161 -1.83021 -1.92291 -0.405751 0.102013 1.79028 -1.22921 1.53685
2.84 -0.289077 -0.867231 -1.59828 -0.707302 0.638947 -0.289077 -0.409866 -2.03451 -1.86723 -0.414744 0.102146 1.79028 -1.27789 1.56697
2.86 -0.270408 -0.811225 -1.59828 -0.707302 0.663024 -0.270408 -0.401404 -2.23891 -1.81123 -0.42309 0.102199 1.79028 -1.32605 1.59646
2.88 -0.251639 -0.754917 -1.59828 -0.707302 0.686826 -0.251639 -0.392789 -2.44325 -1.75492 -0.430784 0.102172 1.79028 -1.37365 1.62529
2.9 -0.232777 -0.69833 -1.59828 -0.707302 0.710344 -0.232777 -0.384032 -2.64738 -1.69833 -0.437821 0.102065 1.79028 -1.42069 1.65346
2.92 -0.213829 -0.641486 -1.59828 -0.707302 0.733568 -0.213829 -0.375148 -2.85113 -1.64149 -0.444199 0.101877 1.79028 -1.46714 1.68097
2.94 -0.194803 -0.584409 -1.59828 -0.707302 0.75649 -0.194803 -0.36615 -3.05435 -1.58441 -0.449914 0.101609 1.79028 -1.51298 1.70778
2.96 -0.175707 -0.52712 -1.59828 -0.707302 0.7791 -0.175707 -0.357051 -3.25687 -1.52712 -0.454965 0.101261 1.79028 -1.5582 1.73391
2.98 -0.156548 -0.469644 -1.59828 -0.707302 0.80139 -0.156548 -0.347864 -3.45854 -1.46964 -0.459351 0.100832 1.79028 -1.60278 1.75933
3 -0.137334 -0.412003 -1.59828 -0.707302 0.82335 -0.137334 -0.338602 -3.65919 -1.412 -0.463071 0.100324 1.79028 -1.6467 1.78404
3.02 -0.118073 -0.35422 -1.59828 -0.707302 0.844973 -0.118073 -0.32928 -3.85866 -1.35422 -0.466126 0.0997354 1.79028 -1.68995 1.80802
3.04 -0.0987729 -0.296319 -1.59828 -0.707302 0.866249 -0.0987729 -0.319909 -4.05679 -1.29632 -0.468517 0.0990675 1.79028 -1.7325 1.83127
3.06 -0.0794407 -0.238322 -1.59828 -0.707302 0.88717 -0.0794407 -0.310504 -4.25343 -1.23832 -0.470245 0.0983205 1.79028 -1.77434 1.85378
3.08 -0.0600845 -0.180253 -1.59828 -0.707302 0.907728 -0.0600845 -0.301078 -4.44842 -1.18025 -0.471313 0.0974949 1.79028 -1.81546 1.87554
3.1 -0.040712 -0.122136 -1.59828 -0.707302 0.927914 -0.040712 -0.291644 -4.64161 -1.12214 -0.471724 0.0965912 1.79028 -1.85583 1.89654
3.12 -0.0213309 -0.0639927 -1.59828 -0.707302 0.947722 -0.0213309 -0.282214 -4.83283 -1.06399 -0.471482 0.0956101 1.79028 -1.89544 1.91678
3.14 -0.00194906 -0.00584718 -1.59828 -0.707302 0.967143 -0.00194906 -0.272802 -5.02193 -1.00585 -0.470591 0.0945523 1.79028 -1.93429 1.93623
3.16 0.0174258 0.0522774 -1.59828 -0.707302 0.986169 0.0174258 -0.263421 -5.20877 -0.947723 -0.469056 0.0934185 1.79028 -1.97234 1.95491
3.18 0.036786 0.110358 -1.59828 -0.707302 1.00479 0.036786 -0.254083 -5.39319 -0.889642 -0.466884 0.0922095 1.79028 -2.00959 1.9728
3.2 0.0561237 0.168371 -1.59828 -0.707302 1.02301 0.0561237 -0.244802 -5.57504 -0.831629 -0.464081 0.0909263 1.79028 -2.04602 1.98989
3.22 0.0754312 0.226294 -1.59828 -0.707302 1.04081 0.0754312 -0.235589 -5.75418 -0.773706 -0.460654 0.0895699 1.79028 -2.08162 2.00618
3.24 0.0947009 0.284103 -1.59828 -0.707302 1.05818 0.0947009 -0.226456 -5.93046 -0.715897 -0.456611 0.0881412 1.79028 -2.11637 2.02167
3.26 0.113925 0.341775 -1.59828 -0.707302 1.07513 0.113925 -0.217417 -6.10375 -0.658225 -0.451961 0.0866414 1.79028 -2.15026 2.03633
