t 1 2 3 jV0200 jV0300 
0.00324 0 -0.982287 -0.801567 0 0
0.003245 0 -0.995562 -0.805308 0 0
0.00325 0 -1 -0.809017 0 0
0.003255 0 -0.995562 -0.812694 0 0
0.00326 0 -0.982287 -0.816339 0 0
0.003265 0 -0.960294 -0.819952 0 0
0.00327 0 -0.929776 -0.823533 0 0
0.003275 0 -0.891007 -0.827081 0 0
0.00328 0 -0.844328 -0.830596 0 0
0.003285 0 -0.790155 -0.834078 0 0
0.00329 0 -0.728969 -0.837528 0 0
0.003295 0 -0.661312 -0.840945 0 0
0.0033 0 -0.587785 -0.844328 0 0
0.003305 0 -0.509041 -0.847678 0 0
0.00331 0 -0.425779 -0.850994 0 0
0.003315 0 -0.338738 -0.854277 0 0
0.00332 0 -0.24869 -0.857527 0 0
0.003325 0 -0.156434 -0.860742 0 0
0.00333 0 -0.0627905 -0.863923 0 0
0.003335 0 0.0314108 -0.867071 0 0
0.00334 0 0.125333 -0.870184 0 0
0.003345 0 0.218143 -0.873262 0 0
0.00335 0 0.309017 -0.876307 0 0
0.003355 0 0.397148 -0.879316 0 0
0.00336 0 0.481754 -0.882291 0 0
0.003365 0 0.562083 -0.885231 0 0
0.00337 0 0.637424 -0.888136 0 0
0.003375 0 0.707107 -0.891007 0 0
0.00338 0 0.770513 -0.893841 0 0
0.003385 0 0.827081 -0.896641 0 0
0.00339 0 0.876307 -0.899405 0 0
0.003395 0 0.917755 -0.902134 0 0
0.0034 0 0.951057 -0.904827 0 0
0.003405 0 0.975917 -0.907484 0 0
0.00341 0 0.992115 -0.910106 0 0
0.003415 0 0.999507 -0.912692 0 0
0.00342 0 0.998027 -0.915241 0 0
0.003425 0 0.987688 -0.917755 0 0
0.00343 0 0.968583 -0.920232 0 0
0.003435 0 0.940881 -0.922673 0 0
0.00344 0 0.904827 -0.925077 0 0
0.003445 0 0.860742 -0.927445 0 0
0.00345 0 0.809017 -0.929776 0 0
0.003455 0 0.750111 -0.932071 0 0
0.00346 0 0.684547 -0.934329 0 0
0.003465 0 0.612907 -0.93655 0 0
0.00347 0 0.535827 -0.938734 0 0
0.003475 0 0.45399 -0.940881 0 0
0.00348 0 0.368125 -0.942991 0 0
0.003485 0 0.278991 -0.945063 0 0
0.00349 0 0.187381 -0.947098 0 0
0.003495 0 0.0941083 -0.949096 0 0
0.0035 0 1.10747e-12 -0.951057 0 0
0.003505 0 -0.0941083 -0.952979 0 0
0.00351 0 -0.187381 -0.954865 0 0
0.003515 0 -0.278991 -0.956712 0 0
0.00352 0 -0.368125 -0.958522 0 0
0.003525 0 -0.45399 -0.960294 0 0
0.00353 0 -0.535827 -0.962028 0 0
0.003535 0 -0.612907 -0.963724 0 0
0.00354 0 -0.684547 -0.965382 0 0
0.003545 0 -0.750111 -0.967001 0 0
0.00355 0 -0.809017 -0.968583 0 0
0.003555 0 -0.860742 -0.970127 0 0
0.00356 0 -0.904827 -0.971632 0 0
0.003565 0 -0.940881 -0.973099 0 0
0.00357 0 -0.968583 -0.974527 0 0
0.003575 0 -0.987688 -0.975917 0 0
0.00358 0 -0.998027 -0.977268 0 0
0.003585 0 -0.999507 -0.978581 0 0
0.00359 0 -0.992115 -0.979855 0 0
0.003595 0 -0.975917 -0.981091 0 0
0.0036 0 -0.951057 -0.982287 0 0
0.003605 0 -0.917755 -0.983445 0 0
0.00361 0 -0.876307 -0.984564 0 0
0.003615 0 -0.827081 -0.985645 0 0
0.00362 0 -0.770513 -0.986686 0 0
0.003625 0 -0.707107 -0.987688 0 0
0.00363 0 -0.637424 -0.988652 0 0
0.003635 0 -0.562083 -0.989576 0 0
0.00364 0 -0.481754 -0.990461 0 0
0.003645 0 -0.397148 -0.991308 0 0
0.00365 0 -0.309017 -0.992115 0 0
0.003655 0 -0.218143 -0.992883 0 0
0.00366 0 -0.125333 -0.993611 0 0
0.003665 0 -0.0314108 -0.994301 0 0
0.00367 0 0.0627905 -0.994951 0 0
0.003675 0 0.156434 -0.995562 0 0
0.00368 0 0.24869 -0.996134 0 0
0.003685 0 0.338738 -0.996666 0 0
0.00369 0 0.425779 -0.997159 0 0
0.003695 0 0.509041 -0.997613 0 0
0.0037 0 0.587785 -0.998027 0 0
0.003705 0 0.661312 -0.998402 0 0
0.00371 0 0.728969 -0.998737 0 0
0.003715 0 0.790155 -0.999033 0 0
0.00372 0 0.844328 -0.999289 0 0
0.003725 0 0.891007 -0.999507 0 0
0.00373 0 0.929776 -0.999684 0 0
0.003735 0 0.960294 -0.999822 0 0
0.00374 0 0.982287 -0.999921 0 0
0.003745 0 0.995562 -0.99998 0 0
0.00375 0 1 -1 0 0
0.003755 0 0.995562 -0.99998 0 0
0.00376 0 0.982287 -0.999921 0 0
0.003765 0 0.960294 -0.999822 0 0
0.00377 0 0.929776 -0.999684 0 0
0.003775 0 0.891007 -0.999507 0 0
0.00378 0 0.844328 -0.999289 0 0
0.003785 0 0.790155 -0.999033 0 0
0.00379 0 0.728969 -0.998737 0 0
0.003795 0 0.661312 -0.998402 0 0
0.0038 0 0.587785 -0.998027 0 0
0.003805 0 0.509041 -0.997613 0 0
0.00381 0 0.425779 -0.997159 0 0
0.003815 0 0.338738 -0.996666 0 0
0.00382 0 0.24869 -0.996134 0 0
0.003825 0 0.156434 -0.995562 0 0
0.00383 0 0.0627905 -0.994951 0 0
0.003835 0 -0.0314108 -0.994301 0 0
0.00384 0 -0.125333 -0.993611 0 0
0.003845 0 -0.218143 -0.992883 0 0
0.00385 0 -0.309017 -0.992115 0 0
0.003855 0 -0.397148 -0.991308 0 0
0.00386 0 -0.481754 -0.990461 0 0
0.003865 0 -0.562083 -0.989576 0 0
0.00387 0 -0.637424 -0.988652 0 0
0.003875 0 -0.707107 -0.987688 0 0
0.00388 0 -0.770513 -0.986686 0 0
0.003885 0 -0.827081 -0.985645 0 0
0.00389 0 -0.876307 -0.984564 0 0
0.003895 0 -0.917755 -0.983445 0 0
0.0039 0 -0.951057 -0.982287 0 0
0.003905 0 -0.975917 -0.981091 0 0
0.00391 0 -0.992115 -0.979855 0 0
0.003915 0 -0.999507 -0.978581 0 0
0.00392 0 -0.998027 -0.977268 0 0
0.003925 0 -0.987688 -0.975917 0 0
0.00393 0 -0.968583 -0.974527 0 0
0.003935 0 -0.940881 -0.973099 0 0
0.00394 0 -0.904827 -0.971632 0 0
0.003945 0 -0.860742 -0.970127 0 0
0.00395 0 -0.809017 -0.968583 0 0
0.003955 0 -0.750111 -0.967001 0 0
0.00396 0 -0.684547 -0.965382 0 0
0.003965 0 -0.612907 -0.963724 0 0
0.00397 0 -0.535827 -0.962028 0 0
0.003975 0 -0.45399 -0.960294 0 0
0.00398 0 -0.368125 -0.958522 0 0
0.003985 0 -0.278991 -0.956712 0 0
0.00399 0 -0.187381 -0.954865 0 0
0.003995 0 -0.0941083 -0.952979 0 0
0.004 0 -1.49508e-12 -0.951057 0 0
0.004005 0 0.0941083 -0.949096 0 0
0.00401 0 0.187381 -0.947098 0 0
0.004015 0 0.278991 -0.945063 0 0
0.00402 0 0.368125 -0.942991 0 0
0.004025 0 0.45399 -0.940881 0 0
0.00403 0 0.535827 -0.938734 0 0
0.004035 0 0.612907 -0.93655 0 0
0.00404 0 0.684547 -0.934329 0 0
0.004045 0 0.750111 -0.932071 0 0
0.00405 0 0.809017 -0.929776 0 0
0.004055 0 0.860742 -0.927445 0 0
0.00406 0 0.904827 -0.925077 0 0
0.004065 0 0.940881 -0.922673 0 0
0.00407 0 0.968583 -0.920232 0 0
0.004075 0 0.987688 -0.917755 0 0
0.00408 0 0.998027 -0.915241 0 0
0.004085 0 0.999507 -0.912692 0 0
0.00409 0 0.992115 -0.910106 0 0
0.004095 0 0.975917 -0.907484 0 0
0.0041 0 0.951057 -0.904827 0 0
0.004105 0 0.917755 -0.902134 0 0
0.00411 0 0.876307 -0.899405 0 0
0.004115 0 0.827081 -0.896641 0 0
0.00412 0 0.770513 -0.893841 0 0
0.004125 0 0.707107 -0.891007 0 0
0.00413 0 0.637424 -0.888136 0 0
0.004135 0 0.562083 -0.885231 0 0
0.00414 0 0.481754 -0.882291 0 0
0.004145 0 0.397148 -0.879316 0 0
0.00415 0 0.309017 -0.876307 0 0
0.004155 0 0.218143 -0.873262 0 0
0.00416 0 0.125333 -0.870184 0 0
0.004165 0 0.0314108 -0.867071 0 0
0.00417 0 -0.0627905 -0.863923 0 0
0.004175 0 -0.156434 -0.860742 0 0
0.00418 0 -0.24869 -0.857527 0 0
0.004185 0 -0.338738 -0.854277 0 0
0.00419 0 -0.425779 -0.850994 0 0
0.004195 0 -0.509041 -0.847678 0 0
0.0042 0 -0.587785 -0.844328 0 0
0.004205 0 -0.661312 -0.840945 0 0
0.00421 0 -0.728969 -0.837528 0 0
0.004215 0 -0.790155 -0.834078 0 0
0.00422 0 -0.844328 -0.830596 0 0
0.004225 0 -0.891007 -0.827081 0 0
0.00423 0 -0.929776 -0.823533 0 0
0.004235 0 -0.960294 -0.819952 0 0
0.00424 0 -0.982287 -0.816339 0 0
0.004245 0 -0.995562 -0.812694 0 0
0.00425 0 -1 -0.809017 0 0
0.004255 0 -0.995562 -0.805308 0 0
0.00426 0 -0.982287 -0.801567 0 0
0.004265 0 -0.960294 -0.797794 0 0
0.00427 0 -0.929776 -0.79399 0 0
0.004275 0 -0.891007 -0.790155 0 0
0.00428 0 -0.844328 -0.786288 0 0
0.004285 0 -0.790155 -0.782391 0 0
0.00429 0 -0.728969 -0.778462 0 0
0.004295 0 -0.661312 -0.774503 0 0
0.0043 0 -0.587785 -0.770513 0 0
0.004305 0 -0.509041 -0.766493 0 0
0.00431 0 -0.425779 -0.762443 0 0
0.004315 0 -0.338738 -0.758362 0 0
0.00432 0 -0.24869 -0.754251 0 0
0.004325 0 -0.156434 -0.750111 0 0
0.00433 0 -0.0627905 -0.745941 0 0
0.004335 0 0.0314108 -0.741742 0 0
0.00434 0 0.125333 -0.737513 0 0
0.004345 0 0.218143 -0.733255 0 0
0.00435 0 0.309017 -0.728969 0 0
0.004355 0 0.397148 -0.724653 0 0
0.00436 0 0.481754 -0.720309 0 0
0.004365 0 0.562083 -0.715936 0 0
0.00437 0 0.637424 -0.711536 0 0
0.004375 0 0.707107 -0.707107 0 0
0.00438 0 0.770513 -0.70265 0 0
0.004385 0 0.827081 -0.698165 0 0
0.00439 0 0.876307 -0.693653 0 0
0.004395 0 0.917755 -0.689114 0 0
0.0044 0 0.951057 -0.684547 0 0
0.004405 0 0.975917 -0.679953 0 0
0.00441 0 0.992115 -0.675333 0 0
0.004415 0 0.999507 -0.670686 0 0
0.00442 0 0.998027 -0.666012 0 0
0.004425 0 0.987688 -0.661312 0 0
0.00443 0 0.968583 -0.656586 0 0
0.004435 0 0.940881 -0.651834 0 0
0.00444 0 0.904827 -0.647056 0 0
0.004445 0 0.860742 -0.642253 0 0
0.00445 0 0.809017 -0.637424 0 0
0.004455 0 0.750111 -0.63257 0 0
0.00446 0 0.684547 -0.627691 0 0
0.004465 0 0.612907 -0.622788 0 0
0.00447 0 0.535827 -0.61786 0 0
0.004475 0 0.45399 -0.612907 0 0
0.00448 0 0.368125 -0.60793 0 0
0.004485 0 0.278991 -0.60293 0 0
0.00449 0 0.187381 -0.597905 0 0
0.004495 0 0.0941083 -0.592857 0 0
0.0045 0 1.86848e-12 -0.587785 0 0
0.004505 0 -0.0941083 -0.58269 0 0
0.00451 0 -0.187381 -0.577573 0 0
0.004515 0 -0.278991 -0.572432 0 0
0.00452 0 -0.368125 -0.567269 0 0
0.004525 0 -0.45399 -0.562083 0 0
0.00453 0 -0.535827 -0.556876 0 0
0.004535 0 -0.612907 -0.551646 0 0
0.00454 0 -0.684547 -0.546394 0 0
0.004545 0 -0.750111 -0.541121 0 0
0.00455 0 -0.809017 -0.535827 0 0
