t 1 2 3 4 5 6 jO0300 jO0600 jV0200 
1.82e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.83e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.84e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.85e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.86e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.87e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.88e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.89e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.9e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.91e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.92e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.93e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.94e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.95e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.96e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.97e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.98e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.99e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.01e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.02e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.03e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.04e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.05e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.06e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.07e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.08e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.09e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.1e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.11e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.12e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.13e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.14e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.15e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.16e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.17e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.18e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.19e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.2e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.21e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.22e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.23e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.24e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.25e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.26e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.27e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.28e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.29e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.3e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.31e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.32e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.33e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.34e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.35e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.36e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.37e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.38e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.39e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.4e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.41e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.42e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.43e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.44e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.45e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.46e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.47e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
