t 1 2 3 jL1 jL2 jV0300 
2.16e-06 6457.19 13806.6 10000 164.736 -40.9008 -164.736
2.17e-06 6289.19 14455.6 10000 170.655 -40.2824 -170.655
2.18e-06 6115.37 15094.3 10000 176.367 -39.6144 -176.367
2.19e-06 5935.96 15721.9 10000 181.867 -38.8973 -181.867
2.2e-06 5751.17 16337.6 10000 187.15 -38.1316 -187.15
2.21e-06 5561.22 16940.6 10000 192.21 -37.3178 -192.21
2.22e-06 5366.33 17530.2 10000 197.043 -36.4566 -197.043
2.23e-06 5166.74 18105.5 10000 201.645 -35.5486 -201.645
2.24e-06 4962.68 18666 10000 206.011 -34.5945 -206.011
2.25e-06 4754.37 19210.8 10000 210.139 -33.5951 -210.139
2.26e-06 4542.08 19739.2 10000 214.024 -32.5514 -214.024
2.27e-06 4326.03 20250.5 10000 217.663 -31.4641 -217.663
2.28e-06 4106.48 20744 10000 221.054 -30.3342 -221.054
2.29e-06 3883.68 21219.1 10000 224.193 -29.1628 -224.193
2.3e-06 3657.88 21675.1 10000 227.079 -27.9509 -227.079
2.31e-06 3429.33 22111.4 10000 229.709 -26.6997 -229.709
2.32e-06 3198.3 22527.2 10000 232.081 -25.4103 -232.081
2.33e-06 2965.03 22922.2 10000 234.195 -24.0839 -234.195
2.34e-06 2729.8 23295.6 10000 236.048 -22.7219 -236.048
2.35e-06 2492.85 23646.9 10000 237.64 -21.3255 -237.64
2.36e-06 2254.46 23975.6 10000 238.971 -19.8962 -238.971
2.37e-06 2014.88 24281.1 10000 240.04 -18.4353 -240.04
2.38e-06 1774.37 24563 10000 240.847 -16.9443 -240.847
2.39e-06 1533.2 24820.7 10000 241.393 -15.4247 -241.393
2.4e-06 1291.63 25054 10000 241.678 -13.8781 -241.678
2.41e-06 1049.92 25262.2 10000 241.703 -12.306 -241.703
2.42e-06 808.325 25445.1 10000 241.468 -10.7102 -241.468
2.43e-06 567.106 25602.3 10000 240.977 -9.09218 -240.977
2.44e-06 326.519 25733.3 10000 240.23 -7.45371 -240.23
2.45e-06 86.8183 25838 10000 239.229 -5.79653 -239.229
2.46e-06 -151.743 25916.1 10000 237.977 -4.12238 -237.977
2.47e-06 -388.915 25967.2 10000 236.476 -2.43307 -236.476
2.48e-06 -624.45 25991.1 10000 234.729 -0.730414 -234.729
2.49e-06 -858.106 25987.8 10000 232.74 0.983752 -232.74
2.5e-06 -1089.64 25956.9 10000 230.511 2.70756 -230.511
2.51e-06 -1318.81 25898.3 10000 228.046 4.43911 -228.046
2.52e-06 -1545.4 25812 10000 225.349 6.17651 -225.349
2.53e-06 -1769.15 25697.9 10000 222.424 7.91784 -222.424
2.54e-06 -1989.87 25555.8 10000 219.276 9.66114 -219.276
2.55e-06 -2207.31 25385.9 10000 215.909 11.4045 -215.909
2.56e-06 -2421.26 25188.1 10000 212.327 13.1459 -212.327
2.57e-06 -2631.52 24962.5 10000 208.537 14.8834 -208.537
2.58e-06 -2837.88 24709.1 10000 204.543 16.6151 -204.543
2.59e-06 -3040.13 24428.1 10000 200.35 18.3389 -200.35
2.6e-06 -3238.09 24119.6 10000 195.964 20.0529 -195.964
2.61e-06 -3431.55 23783.7 10000 191.391 21.7551 -191.391
2.62e-06 -3620.34 23420.8 10000 186.638 23.4436 -186.638
2.63e-06 -3804.28 23030.9 10000 181.709 25.1163 -181.709
2.64e-06 -3983.2 22614.5 10000 176.612 26.7713 -176.612
2.65e-06 -4156.94 22171.7 10000 171.353 28.4067 -171.353
2.66e-06 -4325.32 21703 10000 165.939 30.0206 -165.939
2.67e-06 -4488.22 21208.6 10000 160.377 31.6109 -160.377
2.68e-06 -4645.47 20689 10000 154.673 33.1759 -154.673
2.69e-06 -4796.94 20144.6 10000 148.834 34.7135 -148.834
2.7e-06 -4942.5 19575.9 10000 142.869 36.2221 -142.869
2.71e-06 -5082.03 18983.3 10000 136.783 37.6997 -136.783
2.72e-06 -5215.42 18367.4 10000 130.585 39.1445 -130.585
2.73e-06 -5342.54 17728.6 10000 124.282 40.5548 -124.282
2.74e-06 -5463.31 17067.6 10000 117.881 41.9288 -117.881
2.75e-06 -5577.63 16384.9 10000 111.391 43.2647 -111.391
2.76e-06 -5685.41 15681.2 10000 104.819 44.561 -104.819
2.77e-06 -5786.58 14957.1 10000 98.1718 45.816 -98.1718
2.78e-06 -5881.07 14213.4 10000 91.4585 47.028 -91.4585
2.79e-06 -5968.81 13450.6 10000 84.6865 48.1955 -84.6865
2.8e-06 -6049.74 12669.5 10000 77.8637 49.317 -77.8637
2.81e-06 -6123.84 11870.9 10000 70.9979 50.391 -70.9979
2.82e-06 -6191.04 11055.6 10000 64.0971 51.416 -64.0971
2.83e-06 -6251.33 10224.3 10000 57.1692 52.3909 -57.1692
2.84e-06 -6304.68 9377.84 10000 50.2221 53.314 -50.2221
2.85e-06 -6351.07 8517.08 10000 43.2635 54.1843 -43.2635
2.86e-06 -6390.51 7642.88 10000 36.3015 55.0005 -36.3015
2.87e-06 -6422.98 6756.1 10000 29.3437 55.7615 -29.3437
2.88e-06 -6448.5 5857.64 10000 22.3979 56.466 -22.3979
2.89e-06 -6467.09 4948.41 10000 15.4718 57.1132 -15.4718
2.9e-06 -6478.77 4029.34 10000 8.57303 57.7019 -8.57303
2.91e-06 -6483.56 3101.38 10000 1.70918 58.2313 -1.70918
2.92e-06 -6481.51 2165.47 10000 -5.11227 58.7006 5.11227
2.93e-06 -6472.67 1222.58 10000 -11.884 59.1088 11.884
2.94e-06 -6457.09 273.711 10000 -18.5986 59.4553 18.5986
2.95e-06 -6434.83 -680.158 10000 -25.2489 59.7395 25.2489
2.96e-06 -6405.96 -1638.02 10000 -31.828 59.9607 31.828
2.97e-06 -6370.55 -2598.86 10000 -38.3287 60.1183 38.3287
2.98e-06 -6328.68 -3561.66 10000 -44.7443 60.212 44.7443
2.99e-06 -6280.45 -4525.4 10000 -51.0682 60.2414 51.0682
3e-06 -6225.95 -5489.04 10000 -57.2937 60.2061 57.2937
3.01e-06 -6165.28 -6451.54 10000 -63.4145 60.1059 63.4145
3.02e-06 -6098.55 -7411.86 10000 -69.4244 59.9406 69.4244
3.03e-06 -6025.88 -8368.97 10000 -75.3172 59.7101 75.3172
3.04e-06 -5947.38 -9321.82 10000 -81.087 59.4143 81.087
3.05e-06 -5863.17 -10269.4 10000 -86.7282 59.0534 86.7282
3.06e-06 -5773.41 -11210.5 10000 -92.2352 58.6275 92.2352
3.07e-06 -5678.21 -12144.4 10000 -97.6027 58.1367 97.6027
3.08e-06 -5577.72 -13069.7 10000 -102.825 57.5812 102.825
3.09e-06 -5472.09 -13985.7 10000 -107.898 56.9615 107.898
3.1e-06 -5361.48 -14891.1 10000 -112.817 56.278 112.817
3.11e-06 -5246.03 -15785.1 10000 -117.577 55.5311 117.577
3.12e-06 -5125.91 -16666.5 10000 -122.173 54.7214 122.173
3.13e-06 -5001.29 -17534.5 10000 -126.602 53.8495 126.602
3.14e-06 -4872.33 -18387.9 10000 -130.859 52.9161 130.859
3.15e-06 -4739.21 -19225.9 10000 -134.942 51.922 134.942
3.16e-06 -4602.11 -20047.5 10000 -138.846 50.868 138.846
3.17e-06 -4461.2 -20851.7 10000 -142.568 49.7551 142.568
3.18e-06 -4316.67 -21637.5 10000 -146.105 48.5843 146.105
3.19e-06 -4168.71 -22404.1 10000 -149.455 47.3565 149.455
3.2e-06 -4017.5 -23150.6 10000 -152.615 46.0729 152.615
3.21e-06 -3863.23 -23876.1 10000 -155.583 44.7347 155.583
3.22e-06 -3706.11 -24579.7 10000 -158.356 43.3432 158.356
3.23e-06 -3546.32 -25260.5 10000 -160.933 41.8996 160.933
3.24e-06 -3384.06 -25917.8 10000 -163.313 40.4054 163.313
3.25e-06 -3219.53 -26550.8 10000 -165.493 38.862 165.493
3.26e-06 -3052.93 -27158.6 10000 -167.473 37.2708 167.473
3.27e-06 -2884.47 -27740.6 10000 -169.253 35.6334 169.253
3.28e-06 -2714.33 -28296 10000 -170.831 33.9516 170.831
3.29e-06 -2542.72 -28824.1 10000 -172.207 32.2268 172.207
3.3e-06 -2369.86 -29324.3 10000 -173.381 30.4609 173.381
3.31e-06 -2195.92 -29795.8 10000 -174.353 28.6556 174.353
3.32e-06 -2021.13 -30238.1 10000 -175.123 26.8127 175.123
3.33e-06 -1845.68 -30650.6 10000 -175.693 24.9342 175.693
3.34e-06 -1669.76 -31032.8 10000 -176.063 23.0219 176.063
3.35e-06 -1493.59 -31384.1 10000 -176.233 21.0778 176.233
3.36e-06 -1317.36 -31704 10000 -176.206 19.1039 176.206
3.37e-06 -1141.26 -31992.1 10000 -175.983 17.1023 175.983
3.38e-06 -965.489 -32247.9 10000 -175.565 15.075 175.565
3.39e-06 -790.244 -32471.1 10000 -174.955 13.0241 174.955
3.4e-06 -615.714 -32661.3 10000 -174.154 10.9519 174.154
3.41e-06 -442.088 -32818.1 10000 -173.166 8.86042 173.166
3.42e-06 -269.553 -32941.3 10000 -171.992 6.75196 171.992
3.43e-06 -98.2922 -33030.7 10000 -170.636 4.62874 170.636
3.44e-06 71.5135 -33086 10000 -169.1 2.49301 169.1
3.45e-06 239.686 -33107 10000 -167.388 0.347053 167.388
3.46e-06 406.051 -33093.6 10000 -165.503 -1.80683 165.503
3.47e-06 570.438 -33045.7 10000 -163.449 -3.96633 163.449
3.48e-06 732.679 -32963.2 10000 -161.229 -6.1291 161.229
3.49e-06 892.611 -32846.1 10000 -158.847 -8.29282 158.847
3.5e-06 1050.07 -32694.4 10000 -156.308 -10.4551 156.308
3.51e-06 1204.91 -32508.1 10000 -153.616 -12.6137 153.616
3.52e-06 1356.98 -32287.3 10000 -150.774 -14.7661 150.774
3.53e-06 1506.12 -32032.2 10000 -147.788 -16.9101 147.788
3.54e-06 1652.2 -31742.9 10000 -144.663 -19.0432 144.663
3.55e-06 1795.08 -31419.5 10000 -141.403 -21.1632 141.403
3.56e-06 1934.63 -31062.3 10000 -138.013 -23.2676 138.013
3.57e-06 2070.72 -30671.7 10000 -134.498 -25.3542 134.498
3.58e-06 2203.23 -30247.8 10000 -130.863 -27.4207 130.863
3.59e-06 2332.04 -29791 10000 -127.115 -29.4646 127.115
3.6e-06 2457.04 -29301.8 10000 -123.257 -31.4838 123.257
3.61e-06 2578.13 -28780.5 10000 -119.296 -33.476 119.296
3.62e-06 2695.2 -28227.6 10000 -115.238 -35.4389 115.238
3.63e-06 2808.17 -27643.5 10000 -111.087 -37.3703 111.087
3.64e-06 2916.93 -27028.8 10000 -106.849 -39.2681 106.849
3.65e-06 3021.41 -26384.1 10000 -102.532 -41.1301 102.532
3.66e-06 3121.53 -25709.9 10000 -98.1392 -42.9541 98.1392
3.67e-06 3217.22 -25006.9 10000 -93.6778 -44.738 93.6778
3.68e-06 3308.42 -24275.7 10000 -89.1536 -46.4799 89.1536
3.69e-06 3395.05 -23517 10000 -84.5725 -48.1778 84.5725
3.7e-06 3477.08 -22731.6 10000 -79.9405 -49.8295 79.9405
3.71e-06 3554.46 -21920.1 10000 -75.2637 -51.4333 75.2637
3.72e-06 3627.13 -21083.5 10000 -70.5479 -52.9873 70.5479
3.73e-06 3695.07 -20222.4 10000 -65.7994 -54.4896 65.7994
3.74e-06 3758.24 -19337.7 10000 -61.0241 -55.9385 61.0241
3.75e-06 3816.63 -18430.4 10000 -56.228 -57.3322 56.228
3.76e-06 3870.21 -17501.2 10000 -51.4172 -58.6692 51.4172
3.77e-06 3918.98 -16551.2 10000 -46.5975 -59.9477 46.5975
