t 1 2 3 4 5 6 7 jL1 8 jL2 9 jE11 jO1 jV1 
2.08 -0.845413 -2.53624 1.86624 0.900551 -0.351293 -0.845413 0 0 0 0 -3.53624 2.18266 0.702585 0.142828 
2.1 -0.835196 -2.50559 1.86624 0.900551 -0.324372 -0.835196 0 0 0 0 -3.50559 2.18266 0.648744 0.186452 
2.12 -0.82465 -2.47395 1.86624 0.900551 -0.297333 -0.82465 0 0 0 0 -3.47395 2.18266 0.594666 0.229984 
2.14 -0.813778 -2.44133 1.86624 0.900551 -0.270185 -0.813778 0 0 0 0 -3.44133 2.18266 0.540371 0.273407 
2.16 -0.802585 -2.40776 1.86624 0.900551 -0.242941 -0.802585 0 0 0 0 -3.40776 2.18266 0.485882 0.316704 
2.18 -0.791076 -2.37323 1.86624 0.900551 -0.21561 -0.791076 0 0 0 0 -3.37323 2.18266 0.43122 0.359856 
2.2 -0.779255 -2.33776 1.86624 0.900551 -0.188204 -0.779255 0 0 0 0 -3.33776 2.18266 0.376408 0.402847 
2.22 -0.767127 -2.30138 1.86624 0.900551 -0.160733 -0.767127 0 0 0 0 -3.30138 2.18266 0.321467 0.44566 
2.24 -0.754697 -2.26409 1.86624 0.900551 -0.13321 -0.754697 0 0 0 0 -3.26409 2.18266 0.266419 0.488278 
2.26 -0.741971 -2.22591 1.86624 0.900551 -0.105644 -0.741971 0 0 0 0 -3.22591 2.18266 0.211288 0.530683 
2.28 -0.728953 -2.18686 1.86624 0.900551 -0.0780466 -0.728953 0 0 0 0 -3.18686 2.18266 0.156093 0.57286 
2.3 -0.715648 -2.14694 1.86624 0.900551 -0.0504292 -0.715648 0 0 0 0 -3.14694 2.18266 0.100858 0.61479 
2.32 -0.702063 -2.10619 1.86624 0.900551 -0.0228028 -0.702063 0 0 0 0 -3.10619 2.18266 0.0456055 0.656458 
2.34 -0.688203 -2.06461 1.86624 0.900551 0.00482177 -0.688203 0 0 0 0 -3.06461 2.18266 -0.00964354 0.697846 
2.36 -0.674072 -2.02222 1.86624 0.900551 0.0324333 -0.674072 0 0 0 0 -3.02222 2.18266 -0.0648667 0.738939 
2.38 -0.659678 -1.97904 1.86624 0.900551 0.0600209 -0.659678 0 0 0 0 -2.97904 2.18266 -0.120042 0.77972 
2.4 -0.645026 -1.93508 1.86624 0.900551 0.0875734 -0.645026 0 0 0 0 -2.93508 2.18266 -0.175147 0.820173 
2.42 -0.630122 -1.89037 1.86624 0.900551 0.11508 -0.630122 0 0 0 0 -2.89037 2.18266 -0.23016 0.860282 
2.44 -0.614972 -1.84492 1.86624 0.900551 0.142529 -0.614972 0 0 0 0 -2.84492 2.18266 -0.285059 0.900031 
2.46 -0.599583 -1.79875 1.86624 0.900551 0.169911 -0.599583 0 0 0 0 -2.79875 2.18266 -0.339822 0.939404 
2.48 -0.583959 -1.75188 1.86624 0.900551 0.197214 -0.583959 0 0 0 0 -2.75188 2.18266 -0.394427 0.978386 
2.5 -0.568108 -1.70433 1.86624 0.900551 0.224426 -0.568108 0 0 0 0 -2.70433 2.18266 -0.448853 1.01696 
2.52 -0.552037 -1.65611 1.86624 0.900551 0.251539 -0.552037 0 0 0 0 -2.65611 2.18266 -0.503077 1.05511 
2.54 -0.535751 -1.60725 1.86624 0.900551 0.27854 -0.535751 0 0 0 0 -2.60725 2.18266 -0.557079 1.09283 
2.56 -0.519258 -1.55777 1.86624 0.900551 0.305418 -0.519258 0 0 0 0 -2.55777 2.18266 -0.610836 1.13009 
2.58 -0.502563 -1.50769 1.86624 0.900551 0.332164 -0.502563 0 0 0 0 -2.50769 2.18266 -0.664328 1.16689 
2.6 -0.485674 -1.45702 1.86624 0.900551 0.358766 -0.485674 0 0 0 0 -2.45702 2.18266 -0.717533 1.20321 
2.62 -0.468598 -1.40579 1.86624 0.900551 0.385214 -0.468598 0 0 0 0 -2.40579 2.18266 -0.770429 1.23903 
2.64 -0.451341 -1.35402 1.86624 0.900551 0.411498 -0.451341 0 0 0 0 -2.35402 2.18266 -0.822996 1.27434 
2.66 -0.433911 -1.30173 1.86624 0.900551 0.437607 -0.433911 0 0 0 0 -2.30173 2.18266 -0.875213 1.30912 
2.68 -0.416314 -1.24894 1.86624 0.900551 0.46353 -0.416314 0 0 0 0 -2.24894 2.18266 -0.92706 1.34337 
2.7 -0.398558 -1.19567 1.86624 0.900551 0.489257 -0.398558 0 0 0 0 -2.19567 2.18266 -0.978515 1.37707 
2.72 -0.380649 -1.14195 1.86624 0.900551 0.514779 -0.380649 0 0 0 0 -2.14195 2.18266 -1.02956 1.41021 
2.74 -0.362595 -1.08779 1.86624 0.900551 0.540084 -0.362595 0 0 0 0 -2.08779 2.18266 -1.08017 1.44276 
2.76 -0.344404 -1.03321 1.86624 0.900551 0.565164 -0.344404 0 0 0 0 -2.03321 2.18266 -1.13033 1.47473 
2.78 -0.326082 -0.978247 1.86624 0.900551 0.590007 -0.326082 0 0 0 0 -1.97825 2.18266 -1.18001 1.5061 
2.8 -0.307638 -0.922913 1.86624 0.900551 0.614605 -0.307638 0 0 0 0 -1.92291 2.18266 -1.22921 1.53685 
2.82 -0.289077 -0.867231 1.86624 0.900551 0.638947 -0.289077 0 0 0 0 -1.86723 2.18266 -1.27789 1.56697 
2.84 -0.270408 -0.811225 1.86624 0.900551 0.663024 -0.270408 0 0 0 0 -1.81123 2.18266 -1.32605 1.59646 
2.86 -0.251639 -0.754917 1.86624 0.900551 0.686826 -0.251639 0 0 0 0 -1.75492 2.18266 -1.37365 1.62529 
2.88 -0.232777 -0.69833 1.86624 0.900551 0.710344 -0.232777 0 0 0 0 -1.69833 2.18266 -1.42069 1.65346 
2.9 -0.213829 -0.641486 1.86624 0.900551 0.733568 -0.213829 0 0 0 0 -1.64149 2.18266 -1.46714 1.68097 
2.92 -0.194803 -0.584409 1.86624 0.900551 0.75649 -0.194803 0 0 0 0 -1.58441 2.18266 -1.51298 1.70778 
2.94 -0.175707 -0.52712 1.86624 0.900551 0.7791 -0.175707 0 0 0 0 -1.52712 2.18266 -1.5582 1.73391 
2.96 -0.156548 -0.469644 1.86624 0.900551 0.80139 -0.156548 0 0 0 0 -1.46964 2.18266 -1.60278 1.75933 
2.98 -0.137334 -0.412003 1.86624 0.900551 0.82335 -0.137334 0 0 0 0 -1.412 2.18266 -1.6467 1.78404 
3 -0.118073 -0.35422 1.86624 0.900551 0.844973 -0.118073 0 0 0 0 -1.35422 2.18266 -1.68995 1.80802 
3.02 -0.0987729 -0.296319 1.86624 0.900551 0.866249 -0.0987729 0 0 0 0 -1.29632 2.18266 -1.7325 1.83127 
3.04 -0.0794407 -0.238322 1.86624 0.900551 0.88717 -0.0794407 0 0 0 0 -1.23832 2.18266 -1.77434 1.85378 
3.06 -0.0600845 -0.180253 1.86624 0.900551 0.907728 -0.0600845 0 0 0 0 -1.18025 2.18266 -1.81546 1.87554 
3.08 -0.040712 -0.122136 1.86624 0.900551 0.927914 -0.040712 0 0 0 0 -1.12214 2.18266 -1.85583 1.89654 
3.1 -0.0213309 -0.0639927 1.86624 0.900551 0.947722 -0.0213309 0 0 0 0 -1.06399 2.18266 -1.89544 1.91678 
3.12 -0.00194906 -0.00584718 1.86624 0.900551 0.967143 -0.00194906 0 0 0 0 -1.00585 2.18266 -1.93429 1.93623 
3.14 0.0174258 0.0522774 1.86624 0.900551 0.986169 0.0174258 0 0 0 0 -0.947723 2.18266 -1.97234 1.95491 
3.16 0.036786 0.110358 1.86624 0.900551 1.00479 0.036786 0 0 0 0 -0.889642 2.18266 -2.00959 1.9728 
3.18 0.0561237 0.168371 1.86624 0.900551 1.02301 0.0561237 0 0 0 0 -0.831629 2.18266 -2.04602 1.98989 
3.2 0.0754312 0.226294 1.86624 0.900551 1.04081 0.0754312 0 0 0 0 -0.773706 2.18266 -2.08162 2.00618 
3.22 0.0947009 0.284103 1.86624 0.900551 1.05818 0.0947009 0 0 0 0 -0.715897 2.18266 -2.11637 2.02167 
3.24 0.113925 0.341775 1.86624 0.900551 1.07513 0.113925 0 0 0 0 -0.658225 2.18266 -2.15026 2.03633 
3.26 0.133096 0.399287 1.86624 0.900551 1.09164 0.133096 0 0 0 0 -0.600713 2.18266 -2.18328 2.05018 
3.28 0.152206 0.456617 1.86624 0.900551 1.1077 0.152206 0 0 0 0 -0.543383 2.18266 -2.21541 2.0632 
3.3 0.171247 0.513742 1.86624 0.900551 1.12332 0.171247 0 0 0 0 -0.486258 2.18266 -2.24664 2.07539 
3.32 0.190213 0.570638 1.86624 0.900551 1.13848 0.190213 0 0 0 0 -0.429362 2.18266 -2.27696 2.08675 
3.34 0.209094 0.627283 1.86624 0.900551 1.15318 0.209094 0 0 0 0 -0.372717 2.18266 -2.30636 2.09727 
3.36 0.227885 0.683655 1.86624 0.900551 1.16741 0.227885 0 0 0 0 -0.316345 2.18266 -2.33483 2.10694 
3.38 0.246577 0.739731 1.86624 0.900551 1.18117 0.246577 0 0 0 0 -0.260269 2.18266 -2.36235 2.11577 
3.4 0.265163 0.795488 1.86624 0.900551 1.19446 0.265163 0 0 0 0 -0.204512 2.18266 -2.38891 2.12375 
3.42 0.283635 0.850906 1.86624 0.900551 1.20726 0.283635 0 0 0 0 -0.149094 2.18266 -2.41451 2.13088 
3.44 0.301987 0.905961 1.86624 0.900551 1.21957 0.301987 0 0 0 0 -0.0940395 2.18266 -2.43914 2.13715 
3.46 0.32021 0.960631 1.86624 0.900551 1.23139 0.32021 0 0 0 0 -0.0393688 2.18266 -2.46278 2.14257 
3.48 0.338299 1.0149 1.86624 0.900551 1.24271 0.338299 0 0 0 0 0.0148959 2.18266 -2.48542 2.14712 
3.5 0.356244 1.06873 1.86624 0.900551 1.25353 0.356244 0 0 0 0 0.0687331 2.18266 -2.50706 2.15082 
3.52 0.37404 1.12212 1.86624 0.900551 1.26385 0.37404 0 0 0 0 0.122121 2.18266 -2.52769 2.15365 
3.54 0.39168 1.17504 1.86624 0.900551 1.27365 0.39168 0 0 0 0 0.17504 2.18266 -2.54731 2.15563 
3.56 0.409156 1.22747 1.86624 0.900551 1.28295 0.409156 0 0 0 0 0.227467 2.18266 -2.56589 2.15673 
3.58 0.426461 1.27938 1.86624 0.900551 1.29172 0.426461 0 0 0 0 0.279383 2.18266 -2.58344 2.15698 
