t 1 2 3 jV0200 jV0300 
0.00174 6.80188 0.982287 0.816339 0 0 
0.001745 6.80909 0.995562 0.812694 0 0 
0.00175 6.80902 1 0.809017 0 0 
0.001755 6.80173 0.995562 0.805308 0 0 
0.00176 6.78737 0.982287 0.801567 0 0 
0.001765 6.76612 0.960294 0.797794 0 0 
0.00177 6.73823 0.929776 0.79399 0 0 
0.001775 6.70403 0.891007 0.790155 0 0 
0.00178 6.66389 0.844328 0.786288 0 0 
0.001785 6.61821 0.790155 0.782391 0 0 
0.00179 6.56747 0.728969 0.778462 0 0 
0.001795 6.51219 0.661312 0.774503 0 0 
0.0018 6.4529 0.587785 0.770513 0 0 
0.001805 6.39018 0.509041 0.766493 0 0 
0.00181 6.32463 0.425779 0.762443 0 0 
0.001815 6.25689 0.338738 0.758362 0 0 
0.00182 6.18757 0.24869 0.754251 0 0 
0.001825 6.11734 0.156434 0.750111 0 0 
0.00183 6.04684 0.0627905 0.745941 0 0 
0.001835 5.9767 -0.0314108 0.741742 0 0 
0.00184 5.90757 -0.125333 0.737513 0 0 
0.001845 5.84005 -0.218143 0.733255 0 0 
0.00185 5.77474 -0.309017 0.728969 0 0 
0.001855 5.71221 -0.397148 0.724653 0 0 
0.00186 5.65299 -0.481754 0.720309 0 0 
0.001865 5.59758 -0.562083 0.715936 0 0 
0.00187 5.54645 -0.637424 0.711536 0 0 
0.001875 5.5 -0.707107 0.707107 0 0 
0.00188 5.4586 -0.770513 0.70265 0 0 
0.001885 5.42256 -0.827081 0.698165 0 0 
0.00189 5.39215 -0.876307 0.693653 0 0 
0.001895 5.36756 -0.917755 0.689114 0 0 
0.0019 5.34896 -0.951057 0.684547 0 0 
0.001905 5.33642 -0.975917 0.679953 0 0 
0.00191 5.32999 -0.992115 0.675333 0 0 
0.001915 5.32965 -0.999507 0.670686 0 0 
0.00192 5.3353 -0.998027 0.666012 0 0 
0.001925 5.34683 -0.987688 0.661312 0 0 
0.00193 5.36404 -0.968583 0.656586 0 0 
0.001935 5.3867 -0.940881 0.651834 0 0 
0.00194 5.41453 -0.904827 0.647056 0 0 
0.001945 5.44719 -0.860742 0.642253 0 0 
0.00195 5.48431 -0.809017 0.637424 0 0 
0.001955 5.5255 -0.750111 0.63257 0 0 
0.00196 5.57032 -0.684547 0.627691 0 0 
0.001965 5.61829 -0.612907 0.622788 0 0 
0.00197 5.66893 -0.535827 0.61786 0 0 
0.001975 5.72175 -0.45399 0.612907 0 0 
0.00198 5.77621 -0.368125 0.60793 0 0 
0.001985 5.83179 -0.278991 0.60293 0 0 
0.00199 5.88796 -0.187381 0.597905 0 0 
0.001995 5.94421 -0.0941083 0.592857 0 0 
0.002 6 4.82684e-014 0.587785 0 0 
0.002005 6.05484 0.0941083 0.58269 0 0 
0.00201 6.10823 0.187381 0.577573 0 0 
0.002015 6.1597 0.278991 0.572432 0 0 
0.00202 6.20883 0.368125 0.567269 0 0 
0.002025 6.25518 0.45399 0.562083 0 0 
0.00203 6.29839 0.535827 0.556876 0 0 
0.002035 6.33811 0.612907 0.551646 0 0 
0.00204 6.37403 0.684547 0.546394 0 0 
0.002045 6.4059 0.750111 0.541121 0 0 
0.00205 6.43349 0.809017 0.535827 0 0 
0.002055 6.45663 0.860742 0.530511 0 0 
0.00206 6.47519 0.904827 0.525175 0 0 
0.002065 6.48909 0.940881 0.519817 0 0 
0.00207 6.49828 0.968583 0.51444 0 0 
0.002075 6.50277 0.987688 0.509041 0 0 
0.00208 6.50263 0.998027 0.503623 0 0 
0.002085 6.49794 0.999507 0.498185 0 0 
0.00209 6.48884 0.992115 0.492727 0 0 
0.002095 6.47552 0.975917 0.48725 0 0 
0.0021 6.45817 0.951057 0.481754 0 0 
0.002105 6.43707 0.917755 0.476238 0 0 
0.00211 6.41248 0.876307 0.470704 0 0 
0.002115 6.38472 0.827081 0.465151 0 0 
0.00212 6.35411 0.770513 0.45958 0 0 
0.002125 6.32102 0.707107 0.45399 0 0 
0.00213 6.28581 0.637424 0.448383 0 0 
0.002135 6.24887 0.562083 0.442758 0 0 
0.00214 6.21058 0.481754 0.437116 0 0 
0.002145 6.17135 0.397148 0.431456 0 0 
0.00215 6.13157 0.309017 0.425779 0 0 
0.002155 6.09164 0.218143 0.420086 0 0 
0.00216 6.05194 0.125333 0.414376 0 0 
0.002165 6.01284 0.0314108 0.408649 0 0 
0.00217 5.9747 -0.0627905 0.402906 0 0 
0.002175 5.93787 -0.156434 0.397148 0 0 
0.00218 5.90267 -0.24869 0.391374 0 0 
0.002185 5.86939 -0.338738 0.385584 0 0 
0.00219 5.8383 -0.425779 0.379779 0 0 
0.002195 5.80964 -0.509041 0.373959 0 0 
0.0022 5.78362 -0.587785 0.368125 0 0 
0.002205 5.76042 -0.661312 0.362275 0 0 
0.00221 5.74019 -0.728969 0.356412 0 0 
0.002215 5.72302 -0.790155 0.350534 0 0 
0.00222 5.70901 -0.844328 0.344643 0 0 
0.002225 5.69818 -0.891007 0.338738 0 0 
0.00223 5.69055 -0.929776 0.33282 0 0 
0.002235 5.68609 -0.960294 0.326888 0 0 
0.00224 5.68474 -0.982287 0.320944 0 0 
0.002245 5.68641 -0.995562 0.314987 0 0 
0.00225 5.69098 -1 0.309017 0 0 
0.002255 5.69831 -0.995562 0.303035 0 0 
0.00226 5.70822 -0.982287 0.297042 0 0 
0.002265 5.72052 -0.960294 0.291036 0 0 
0.00227 5.735 -0.929776 0.285019 0 0 
0.002275 5.75142 -0.891007 0.278991 0 0 
0.00228 5.76954 -0.844328 0.272952 0 0 
0.002285 5.78911 -0.790155 0.266902 0 0 
0.00229 5.80985 -0.728969 0.260842 0 0 
0.002295 5.83152 -0.661312 0.254771 0 0 
0.0023 5.85382 -0.587785 0.24869 0 0 
0.002305 5.87651 -0.509041 0.242599 0 0 
0.00231 5.8993 -0.425779 0.236499 0 0 
0.002315 5.92196 -0.338738 0.230389 0 0 
0.00232 5.94423 -0.24869 0.224271 0 0 
0.002325 5.96587 -0.156434 0.218143 0 0 
0.00233 5.98669 -0.0627905 0.212007 0 0 
0.002335 6.00647 0.0314108 0.205863 0 0 
0.00234 6.02503 0.125333 0.19971 0 0 
0.002345 6.04222 0.218143 0.193549 0 0 
0.00235 6.0579 0.309017 0.187381 0 0 
0.002355 6.07197 0.397148 0.181206 0 0 
0.00236 6.08432 0.481754 0.175023 0 0 
0.002365 6.0949 0.562083 0.168833 0 0 
0.00237 6.10367 0.637424 0.162637 0 0 
0.002375 6.11062 0.707107 0.156434 0 0 
0.00238 6.11575 0.770513 0.150226 0 0 
0.002385 6.11911 0.827081 0.144011 0 0 
0.00239 6.12075 0.876307 0.13779 0 0 
0.002395 6.12074 0.917755 0.131564 0 0 
0.0024 6.1192 0.951057 0.125333 0 0 
0.002405 6.11623 0.975917 0.119097 0 0 
0.00241 6.11197 0.992115 0.112856 0 0 
0.002415 6.10656 0.999507 0.106611 0 0 
0.00242 6.10016 0.998027 0.100362 0 0 
0.002425 6.09295 0.987688 0.0941083 0 0 
0.00243 6.08509 0.968583 0.0878512 0 0 
0.002435 6.07677 0.940881 0.0815906 0 0 
0.00244 6.06816 0.904827 0.0753268 0 0 
0.002445 6.05944 0.860742 0.06906 0 0 
0.00245 6.0508 0.809017 0.0627905 0 0 
0.002455 6.0424 0.750111 0.0565185 0 0 
0.00246 6.03439 0.684547 0.0502443 0 0 
0.002465 6.02695 0.612907 0.0439681 0 0 
0.00247 6.0202 0.535827 0.0376902 0 0 
0.002475 6.01426 0.45399 0.0314108 0 0 
0.00248 6.00925 0.368125 0.0251301 0 0 
0.002485 6.00526 0.278991 0.0188484 0 0 
0.00249 6.00235 0.187381 0.012566 0 0 
0.002495 6.00059 0.0941083 0.00628314 0 0 
0.0025 6 3.39345e-013 2.23269e-014 0 0 
0.002505 6.00059 -0.0941083 -0.00628314 0 0 
0.00251 6.00235 -0.187381 -0.012566 0 0 
0.002515 6.00526 -0.278991 -0.0188484 0 0 
0.00252 6.00925 -0.368125 -0.0251301 0 0 
0.002525 6.01426 -0.45399 -0.0314108 0 0 
0.00253 6.0202 -0.535827 -0.0376902 0 0 
0.002535 6.02695 -0.612907 -0.0439681 0 0 
0.00254 6.03439 -0.684547 -0.0502443 0 0 
0.002545 6.0424 -0.750111 -0.0565185 0 0 
0.00255 6.0508 -0.809017 -0.0627905 0 0 
0.002555 6.05944 -0.860742 -0.06906 0 0 
0.00256 6.06816 -0.904827 -0.0753268 0 0 
0.002565 6.07677 -0.940881 -0.0815906 0 0 
0.00257 6.08509 -0.968583 -0.0878512 0 0 
0.002575 6.09295 -0.987688 -0.0941083 0 0 
0.00258 6.10016 -0.998027 -0.100362 0 0 
0.002585 6.10656 -0.999507 -0.106611 0 0 
0.00259 6.11197 -0.992115 -0.112856 0 0 
0.002595 6.11623 -0.975917 -0.119097 0 0 
0.0026 6.1192 -0.951057 -0.125333 0 0 
0.002605 6.12074 -0.917755 -0.131564 0 0 
0.00261 6.12075 -0.876307 -0.13779 0 0 
0.002615 6.11911 -0.827081 -0.144011 0 0 
0.00262 6.11575 -0.770513 -0.150226 0 0 
0.002625 6.11062 -0.707107 -0.156434 0 0 
0.00263 6.10367 -0.637424 -0.162637 0 0 
0.002635 6.0949 -0.562083 -0.168833 0 0 
0.00264 6.08432 -0.481754 -0.175023 0 0 
0.002645 6.07197 -0.397148 -0.181206 0 0 
0.00265 6.0579 -0.309017 -0.187381 0 0 
0.002655 6.04222 -0.218143 -0.193549 0 0 
0.00266 6.02503 -0.125333 -0.19971 0 0 
0.002665 6.00647 -0.0314108 -0.205863 0 0 
0.00267 5.98669 0.0627905 -0.212007 0 0 
0.002675 5.96587 0.156434 -0.218143 0 0 
0.00268 5.94423 0.24869 -0.224271 0 0 
0.002685 5.92196 0.338738 -0.230389 0 0 
0.00269 5.8993 0.425779 -0.236499 0 0 
0.002695 5.87651 0.509041 -0.242599 0 0 
0.0027 5.85382 0.587785 -0.24869 0 0 
0.002705 5.83152 0.661312 -0.254771 0 0 
