t 1 2 3 4 5 6 jO0300 jO0600 jV0200 
1.8e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.81e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.82e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.83e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.84e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.85e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.86e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.87e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.88e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.89e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.9e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.91e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.92e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.93e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.94e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.95e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.96e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.97e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.98e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.99e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.01e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.02e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.03e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.04e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
