t 1 2 3 jL0200 4 5 6 jE0601 jVX jV0400 
2.11 0 -0.424815 1.92508 1.68757 1 0 -1.13617 0 -1.13617 -0.551404 
2.12 0 -0.429146 1.92136 1.68328 1 0 -1.13476 0 -1.13476 -0.548523 
2.13 0 -0.43343 1.91757 1.67895 1 0 -1.13324 0 -1.13324 -0.545705 
2.14 0 -0.437668 1.91373 1.67457 1 5.55112e-017 -1.13162 0 -1.13162 -0.542952 
2.15 0 -0.441861 1.90983 1.67015 1 -5.55112e-017 -1.12988 0 -1.12988 -0.54027 
2.16 0 -0.446008 1.90586 1.66569 1 5.55112e-017 -1.12803 0 -1.12803 -0.53766 
2.17 0 -0.450109 1.90183 1.66119 1 0 -1.12606 0 -1.12606 -0.535127 
2.18 0 -0.454166 1.89773 1.65665 1 0 -1.12398 0 -1.12398 -0.532673 
2.19 0 -0.458177 1.89356 1.65207 1 0 -1.12177 0 -1.12177 -0.530303 
2.2 0 -0.462144 1.88933 1.64745 1 0 -1.11943 0 -1.11943 -0.528019 
2.21 0 -0.466066 1.88502 1.64279 1 0 -1.11696 0 -1.11696 -0.525826 
2.22 0 -0.469944 1.88063 1.63809 1 5.55112e-017 -1.11436 0 -1.11436 -0.523727 
2.23 0 -0.473777 1.87617 1.63335 1 0 -1.11162 0 -1.11162 -0.521726 
2.24 0 -0.477567 1.87163 1.62857 1 0 -1.10875 0 -1.10875 -0.519828 
2.25 0 -0.481314 1.867 1.62376 1 0 -1.10573 0 -1.10573 -0.518035 
2.26 0 -0.485017 1.86229 1.61891 1 0 -1.10256 0 -1.10256 -0.516352 
2.27 0 -0.488678 1.85749 1.61402 1 0 -1.09924 0 -1.09924 -0.514784 
2.28 0 -0.492296 1.8526 1.6091 1 0 -1.09577 0 -1.09577 -0.513335 
2.29 0 -0.495872 1.84762 1.60414 1 0 -1.09213 0 -1.09213 -0.512008 
2.3 0 -0.499406 1.84255 1.59915 1 0 -1.08834 0 -1.08834 -0.510808 
2.31 0 -0.502899 1.83737 1.59412 1 0 -1.08438 0 -1.08438 -0.509739 
2.32 0 -0.506351 1.83209 1.58906 1 0 -1.08025 0 -1.08025 -0.508806 
2.33 0 -0.509763 1.82671 1.58396 1 0 -1.07594 0 -1.07594 -0.508014 
2.34 0 -0.513134 1.82122 1.57883 1 0 -1.07146 0 -1.07146 -0.507365 
2.35 0 -0.516466 1.81562 1.57366 1 0 -1.0668 0 -1.0668 -0.506866 
2.36 0 -0.519759 1.8099 1.56846 1 0 -1.06194 0 -1.06194 -0.506519 
2.37 0 -0.523013 1.80407 1.56323 1 5.55112e-017 -1.0569 0 -1.0569 -0.50633 
2.38 0 -0.52623 1.79811 1.55797 1 0 -1.05167 0 -1.05167 -0.506301 
2.39 0 -0.529408 1.79202 1.55268 1 0 -1.04624 0 -1.04624 -0.506439 
2.4 0 -0.53255 1.78581 1.54735 1 0 -1.04061 0 -1.04061 -0.506745 
2.41 0 -0.535656 1.77947 1.542 1 0 -1.03477 0 -1.03477 -0.507225 
2.42 0 -0.538725 1.77299 1.53661 1 0 -1.02873 0 -1.02873 -0.507881 
2.43 0 -0.54176 1.76637 1.53119 1 0 -1.02247 0 -1.02247 -0.508716 
2.44 0 -0.54476 1.7596 1.52574 1 0 -1.01601 0 -1.01601 -0.509735 
2.45 0 -0.547727 1.75269 1.52027 1 0 -1.00933 0 -1.00933 -0.510938 
2.46 0 -0.55066 1.74562 1.51476 1 0 -1.00243 0 -1.00243 -0.512329 
2.47 0 -0.553561 1.7384 1.50922 1 0 -0.995314 0 -0.995314 -0.51391 
2.48 0 -0.55643 1.73103 1.50366 1 0 -0.987978 0 -0.987978 -0.515681 
2.49 0 -0.559268 1.72348 1.49807 1 0 -0.980422 0 -0.980422 -0.517644 
2.5 0 -0.562077 1.71577 1.49245 1 0 -0.972647 0 -0.972647 -0.519799 
2.51 0 -0.564855 1.70789 1.4868 1 0 -0.964651 0 -0.964651 -0.522146 
